id,host_phylum,host_class,host_order,host_family,host_genus,host_species,site,area,reef_bay,collection_latitude,collection_longitude,collection_date,collection_year,collection_month,collection_depth,site_zone,number,no_sp,no_sp_lo,full_sample_id,m_y,m_y_s_z,sample_full,coral_species,Timepoint,bio_locator,site_zone,depth_m,f_reads_name,r_reads_name,sample_name_bioac,lat_lon
C8,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,DB,SW,reef,12.06624,68.86019,11/1/20,2020,November,5,SW_reef,96,96_siderea,96_siderea_SW_reef,96SSDBNovember2020,November_2020,November_2020_SW_reef,SW_reef_C8_November_2020,Siderastrea siderea,Nov-20,Curaçao: Spaanse Water Reef,Spaanse Water Reef,5 m,C8_R1_NoIll.fastq.gz,C8_R2_NoIll.fastq.gz,C8_R1_NoIll,12.06624 N 68.86019 W
C9,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,DB,SW,reef,12.06624,68.86019,11/1/20,2020,November,5,SW_reef,97,97_siderea,97_siderea_SW_reef,97SSDBNovember2020,November_2020,November_2020_SW_reef,SW_reef_C9_November_2020,Siderastrea siderea,Nov-20,Curaçao: Spaanse Water Reef,Spaanse Water Reef,5 m,C9_R1_NoIll.fastq.gz,C9_R2_NoIll.fastq.gz,C9_R1_NoIll,12.06624 N 68.86019 W
D1,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMB,SM,bay,12.26947,69.12917,11/1/20,2020,November,1,SM_bay,82,82_siderea,82_siderea_SM_bay,82SSSMBNovember2020,November_2020,November_2020_SM_bay,SM_bay_D1_November_2020,Siderastrea siderea,Nov-20,Curaçao: Santa Martha Bay,Santa Martha Bay,1 m,D1_R1_NoIll.fastq.gz,D1_R2_NoIll.fastq.gz,D1_R1_NoIll,12.26947 N 69.12917 W
D10,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SWB,SW,bay,12.07093,68.8585,11/1/20,2020,November,1,SW_bay,84,84_radians,84_radians_SW_bay,84SRSWBNovember2020,November_2020,November_2020_SW_bay,SW_bay_D10_November_2020,Siderastrea radians,Nov-20,Curaçao: Spaanse Water Bay,Spaanse Water Bay,1 m,D10_R1_NoIll.fastq.gz,D10_R2_NoIll.fastq.gz,D10_R1_NoIll,12.07093 N 68.8585 W
D11,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SWB,SW,bay,12.26947,69.12917,11/1/20,2020,November,1,SW_bay,98,98_radians,98_radians_SW_bay,98SRSWBNovember2020,November_2020,November_2020_SW_bay,SW_bay_D11_November_2020,Siderastrea radians,Nov-20,Curaçao: Spaanse Water Bay,Spaanse Water Bay,1 m,D11_R1_NoIll.fastq.gz,D11_R2_NoIll.fastq.gz,D11_R1_NoIll,12.07093 N 68.8585 W
D12,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SMB,SM,bay,12.26947,69.12917,11/1/20,2020,November,1,SM_bay,44,44_radians,44_radians_SM_bay,44SRSMBNovember2020,November_2020,November_2020_SM_bay,SM_bay_D12_November_2020,Siderastrea radians,Nov-20,Curaçao: Santa Martha Bay,Santa Martha Bay,1 m,D12_R1_NoIll.fastq.gz,D12_R2_NoIll.fastq.gz,D12_R1_NoIll,12.26947 N 69.12917 W
D2,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMR,SM,reef,12.26654,69.12768,11/1/20,2020,November,5,SM_reef,42,42_siderea,42_siderea_SM_reef,42SSSMRNovember2020,November_2020,November_2020_SM_reef,SM_reef_D2_November_2020,Siderastrea siderea,Nov-20,Curaçao: Santa Martha Reef,Santa Martha Reef,5 m,D2_R1_NoIll.fastq.gz,D2_R2_NoIll.fastq.gz,D2_R1_NoIll,12.26654 N 69.12768 W
D3,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMR,SM,reef,12.26654,69.12768,11/1/20,2020,November,5,SM_reef,43,43_siderea,43_siderea_SM_reef,43SSSMRNovember2020,November_2020,November_2020_SM_reef,SM_reef_D3_November_2020,Siderastrea siderea,Nov-20,Curaçao: Santa Martha Reef,Santa Martha Reef,5 m,D3_R1_NoIll.fastq.gz,D3_R2_NoIll.fastq.gz,D3_R1_NoIll,12.26654 N 69.12768 W
D4,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMR,SM,reef,12.26654,69.12768,11/1/20,2020,November,5,SM_reef,63,63_siderea,63_siderea_SM_reef,63SSSMRNovember2020,November_2020,November_2020_SM_reef,SM_reef_D4_November_2020,Siderastrea siderea,Nov-20,Curaçao: Santa Martha Reef,Santa Martha Reef,5 m,D4_R1_NoIll.fastq.gz,D4_R2_NoIll.fastq.gz,D4_R1_NoIll,12.26654 N 69.12768 W
D5,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMR,SM,reef,12.26654,69.12768,11/1/20,2020,November,5,SM_reef,64,64_siderea,64_siderea_SM_reef,64SSSMRNovember2020,November_2020,November_2020_SM_reef,SM_reef_D5_November_2020,Siderastrea siderea,Nov-20,Curaçao: Santa Martha Reef,Santa Martha Reef,5 m,D5_R1_NoIll.fastq.gz,D5_R2_NoIll.fastq.gz,D5_R1_NoIll,12.26654 N 69.12768 W
D6,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SWB,SW,bay,12.07093,68.8585,11/1/20,2020,November,1,SW_bay,91,91_radians,91_radians_SW_bay,91SRSWBNovember2020,November_2020,November_2020_SW_bay,SW_bay_D6_November_2020,Siderastrea radians,Nov-20,Curaçao: Spaanse Water Bay,Spaanse Water Bay,1 m,D6_R1_NoIll.fastq.gz,D6_R2_NoIll.fastq.gz,D6_R1_NoIll,12.07093 N 68.8585 W
D7,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SWB,SW,bay,12.07093,68.8585,11/1/20,2020,November,1,SW_bay,75,75_radians,75_radians_SW_bay,75SRSWBNovember2020,November_2020,November_2020_SW_bay,SW_bay_D7_November_2020,Siderastrea radians,Nov-20,Curaçao: Spaanse Water Bay,Spaanse Water Bay,1 m,D7_R1_NoIll.fastq.gz,D7_R2_NoIll.fastq.gz,D7_R1_NoIll,12.07093 N 68.8585 W
