,id,host_phylum,host_class,host_order,host_family,host_genus,host_species,site,area,reef_bay,collection_latitude,collection_longitude,collection_date,collection_year,collection_month,collection_depth,site_zone,number,no_sp,no_sp_lo,full_sample_id,m_y,m_y_s_z,sample_full,dominant_type
43,D4,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMR,SM,reef,12.26654,69.12768,11/1/20,2020,November,5,SM_reef,63,63_siderea,63_siderea_SM_reef,63SSSMRNovember2020,November_2020,November_2020_SM_reef,SM_reef_D4_November_2020,C1
44,D5,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMR,SM,reef,12.26654,69.12768,11/1/20,2020,November,5,SM_reef,64,64_siderea,64_siderea_SM_reef,64SSSMRNovember2020,November_2020,November_2020_SM_reef,SM_reef_D5_November_2020,C3
45,D6,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SWB,SW,bay,12.07093,68.8585,11/1/20,2020,November,1,SW_bay,91,91_radians,91_radians_SW_bay,91SRSWBNovember2020,November_2020,November_2020_SW_bay,SW_bay_D6_November_2020,C46
46,D7,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SWB,SW,bay,12.07093,68.8585,11/1/20,2020,November,1,SW_bay,75,75_radians,75_radians_SW_bay,75SRSWBNovember2020,November_2020,November_2020_SW_bay,SW_bay_D7_November_2020,C46
47,D8,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SWB,SW,bay,12.07093,68.8585,11/1/20,2020,November,1,SW_bay,79,79_radians,79_radians_SW_bay,79SRSWBNovember2020,November_2020,November_2020_SW_bay,SW_bay_D8_November_2020,C46
48,D9,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SWB,SW,bay,12.07093,68.8585,11/1/20,2020,November,1,SW_bay,80,80_radians,80_radians_SW_bay,80SRSWBNovember2020,November_2020,November_2020_SW_bay,SW_bay_D9_November_2020,C46
49,E1,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SMB,SM,bay,12.26947,69.12917,11/1/20,2020,November,1,SM_bay,60,60_radians,60_radians_SM_bay,60SRSMBNovember2020,November_2020,November_2020_SM_bay,SM_bay_E1_November_2020,C46
50,E10,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMR,SM,reef,12.26654,69.12768,11/1/20,2020,November,5,SM_reef,32,32_porites,32_porites_SM_reef,32PPSMRNovember2020,November_2020,November_2020_SM_reef,SM_reef_E10_November_2020,A4
51,E11,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMR,SM,reef,12.26654,69.12768,11/1/20,2020,November,5,SM_reef,47,47_porites,47_porites_SM_reef,47PPSMRNovember2020,November_2020,November_2020_SM_reef,SM_reef_E11_November_2020,C42
52,E12,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMR,SM,reef,12.26654,69.12768,11/1/20,2020,November,5,SM_reef,57,57_porites,57_porites_SM_reef,57PPSMRNovember2020,November_2020,November_2020_SM_reef,SM_reef_E12_November_2020,C45
53,E2,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SMB,SM,bay,12.26947,69.12917,11/1/20,2020,November,1,SM_bay,70,70_radians,70_radians_SM_bay,70SRSMBNovember2020,November_2020,November_2020_SM_bay,SM_bay_E2_November_2020,C46
54,E3,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SMB,SM,bay,12.26947,69.12917,11/1/20,2020,November,1,SM_bay,73,73_radians,73_radians_SM_bay,73SRSMBNovember2020,November_2020,November_2020_SM_bay,SM_bay_E3_November_2020,C46
55,E4,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMB,SM,bay,12.26947,69.12917,11/1/20,2020,November,1,SM_bay,24,24_porites,24_porites_SM_bay,24PPSMBNovember2020,November_2020,November_2020_SM_bay,SM_bay_E4_November_2020,A4
56,E5,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMB,SM,bay,12.26947,69.12917,11/1/20,2020,November,1,SM_bay,25,25_porites,25_porites_SM_bay,25PPSMBNovember2020,November_2020,November_2020_SM_bay,SM_bay_E5_November_2020,A4
57,E6,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMB,SM,bay,12.26947,69.12917,11/1/20,2020,November,1,SM_bay,26,26_porites,26_porites_SM_bay,26PPSMBNovember2020,November_2020,November_2020_SM_bay,SM_bay_E6_November_2020,A4
58,E7,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMB,SM,bay,12.26947,69.12917,11/1/20,2020,November,1,SM_bay,50,50_porites,50_porites_SM_bay,50PPSMBNovember2020,November_2020,November_2020_SM_bay,SM_bay_E7_November_2020,A4
59,E8,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMB,SM,bay,12.26947,69.12917,11/1/20,2020,November,1,SM_bay,51,51_porites,51_porites_SM_bay,51PPSMBNovember2020,November_2020,November_2020_SM_bay,SM_bay_E8_November_2020,A4
60,E9,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMR,SM,reef,12.26654,69.12768,11/1/20,2020,November,5,SM_reef,28,28_porites,28_porites_SM_reef,28PPSMRNovember2020,November_2020,November_2020_SM_reef,SM_reef_E9_November_2020,C47a
61,F1,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMR,SM,reef,12.26654,69.12768,11/1/20,2020,November,5,SM_reef,68,68_porites,68_porites_SM_reef,68PPSMRNovember2020,November_2020,November_2020_SM_reef,SM_reef_F1_November_2020,C46
62,F10,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMB,SM,bay,12.26947,69.12917,11/1/21,2021,November,1,SM_bay,35,35_siderea,35_siderea_SM_bay,35SSSMBNovember2021,November_2021,November_2021_SM_bay,SM_bay_F10_November_2021,D1
63,F11,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMB,SM,bay,12.26947,69.12917,11/1/21,2021,November,1,SM_bay,37,37_siderea,37_siderea_SM_bay,37SSSMBNovember2021,November_2021,November_2021_SM_bay,SM_bay_F11_November_2021,D1
64,F12,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMB,SM,bay,12.26947,69.12917,11/1/21,2021,November,1,SM_bay,70,70_siderea,70_siderea_SM_bay,70SSSMBNovember2021,November_2021,November_2021_SM_bay,SM_bay_F12_November_2021,D1
65,F2,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SWB,SW,bay,12.07093,68.8585,11/1/21,2021,November,1,SW_bay,59,59_siderea,59_siderea_SW_bay,59SSSWBNovember2021,November_2021,November_2021_SW_bay,SW_bay_F2_November_2021,D1
66,F3,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SWB,SW,bay,12.07093,68.8585,11/1/21,2021,November,1,SW_bay,77,77_siderea,77_siderea_SW_bay,77SSSWBNovember2021,November_2021,November_2021_SW_bay,SW_bay_F3_November_2021,D1
67,F4,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SWB,SW,bay,12.07093,68.8585,11/1/21,2021,November,1,SW_bay,83,83_siderea,83_siderea_SW_bay,83SSSWBNovember2021,November_2021,November_2021_SW_bay,SW_bay_F4_November_2021,D1
68,F5,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SWB,SW,bay,12.07093,68.8585,11/1/21,2021,November,1,SW_bay,95,95_siderea,95_siderea_SW_bay,95SSSWBNovember2021,November_2021,November_2021_SW_bay,SW_bay_F5_November_2021,D1
69,F6,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,DB,SW,reef,12.06624,68.86019,11/1/21,2021,November,5,SW_reef,69,69_siderea,69_siderea_SW_reef,69SSDBNovember2021,November_2021,November_2021_SW_reef,SW_reef_F6_November_2021,C3
70,F7,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,DB,SW,reef,12.06624,68.86019,11/1/21,2021,November,5,SW_reef,85,85_siderea,85_siderea_SW_reef,85SSDBNovember2021,November_2021,November_2021_SW_reef,SW_reef_F7_November_2021,D1
71,F8,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,DB,SW,reef,12.06624,68.86019,11/1/21,2021,November,5,SW_reef,96,96_siderea,96_siderea_SW_reef,96SSDBNovember2021,November_2021,November_2021_SW_reef,SW_reef_F8_November_2021,C3
72,F9,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,DB,SW,reef,12.06624,68.86019,11/1/21,2021,November,5,SW_reef,97,97_siderea,97_siderea_SW_reef,97SSDBNovember2021,November_2021,November_2021_SW_reef,SW_reef_F9_November_2021,C3
73,G1,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMB,SM,bay,12.26947,69.12917,11/1/21,2021,November,1,SM_bay,82,82_siderea,82_siderea_SM_bay,82SSSMBNovember2021,November_2021,November_2021_SM_bay,SM_bay_G1_November_2021,D1
74,G10,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SMB,SM,bay,12.26947,69.12917,11/1/21,2021,November,1,SM_bay,44,44_radians,44_radians_SM_bay,44SRSMBNovember2021,November_2021,November_2021_SM_bay,SM_bay_G10_November_2021,C46
75,G11,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SMB,SM,bay,12.26947,69.12917,11/1/21,2021,November,1,SM_bay,73,73_radians,73_radians_SM_bay,73SRSMBNovember2021,November_2021,November_2021_SM_bay,SM_bay_G11_November_2021,C46
76,G12,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SMB,SM,bay,12.26947,69.12917,11/1/21,2021,November,1,SM_bay,88,88_radians,88_radians_SM_bay,88SRSMBNovember2021,November_2021,November_2021_SM_bay,SM_bay_G12_November_2021,C46
